,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
303,Benjamin Franklin Senior High,1,0,24.0,23.0,73152,21077,0.03683200142863521,0.2138711549622751,0.2991204964507344,0.1277512388945935
304,Alain Leroy Locke College Preparatory Academy,1,1,14.0,13.0,47468,7527,0.06614699331848552,0.2923162583518931,0.14660356347438752,0.026002227171492205
305,Ednovate - Brio College Prep,1,1,11.0,8.0,61895,125,0.0,0.16447368421052633,0.20394736842105263,0.13157894736842105
306,Camino Nuevo High #2,1,1,8.0,5.0,52775,22528,0.03145646160528542,0.23212856914249136,0.31033536794458544,0.09983311615572778
307,Camino Nuevo High #2,1,1,22.0,12.0,52775,22528,0.03145646160528542,0.23212856914249136,0.31033536794458544,0.09983311615572778
308,Central City Value,1,1,26.0,23.0,52775,22528,0.03145646160528542,0.23212856914249136,0.31033536794458544,0.09983311615572778
309,Collegiate Charter High School of Los Angeles,1,1,3.0,,45991,11573,0.07843280849505675,0.29307945807396557,0.09714390333211279,0.01669718051995606
310,Jordan High,1,0,13.0,11.0,42245,12961,0.06434253626579317,0.2933685406778528,0.08844174075807207,0.013069055418142924
311,Communication and Technology at Diego Rivera Learning Complex,1,0,7.0,7.0,48011,13689,0.06671522214129644,0.2924107793153678,0.09829570284049527,0.01235251274581209
312,Dr. Maya Angelou Community High,1,0,21.0,19.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
313,Eagle Rock High,1,0,20.0,17.0,90461,10251,0.02286882959933067,0.16677512317560658,0.4137770753927675,0.15287719624430604
314,Ednovate - East College Prep,1,1,6.0,6.0,51076,12005,0.07749800449894782,0.2583266816631594,0.21507873158696755,0.07223713808867281
315,Alain Leroy Locke College Preparatory Academy,1,1,7.0,7.0,47468,7527,0.06614699331848552,0.2923162583518931,0.14660356347438752,0.026002227171492205
316,Edward R. Roybal Learning Center,1,0,11.0,9.0,67435,26807,0.04025279533300924,0.17213417598444336,0.33263976665046185,0.13925133689839572
317,Alain Leroy Locke College Preparatory Academy,1,1,28.0,28.0,47468,7527,0.06614699331848552,0.2923162583518931,0.14660356347438752,0.026002227171492205
318,Francisco Bravo Medical Magnet High,1,0,79.0,71.0,43646,13396,0.07611382005210073,0.2866208002137466,0.13081958453009151,0.031394028455013025
319,Fairfax Senior High,1,0,36.0,29.0,72457,28544,0.0061183181525439325,0.11270586070475665,0.5079584138375195,0.1852516330849204
320,Felicitas and Gonzalo Mendez High,1,0,49.0,49.0,43646,13396,0.07611382005210073,0.2866208002137466,0.13081958453009151,0.031394028455013025
321,Foshay Learning Center,1,0,8.0,7.0,49644,16634,0.047825838523512944,0.26252785555111136,0.2107879549740015,0.07031026798468659
322,Contreras Learning Center-Academic Leadership Community,1,0,16.0,16.0,36870,11938,0.056173262370237655,0.1954471201981346,0.26526848290035304,0.11197765716393529
323,Hollywood Senior High,1,0,28.0,23.0,50253,17114,0.037035580892471005,0.1691763318262237,0.4253194417141734,0.13162964419107528
324,James A. Garfield Senior High,1,0,100.0,86.0,51183,17439,0.04880093912460171,0.31163604130231665,0.11628854124242352,0.02944347284444551
325,John C. Fremont Senior High,1,0,15.0,13.0,42220,17542,0.0672898076425023,0.32936218303392745,0.08523061709792103,0.018293974995879734
326,John Marshall Senior High,1,0,51.0,43.0,71651,21403,0.02178932561904509,0.16165503330767803,0.42551553915974416,0.18378937869901005
327,"Boyle Heights Science, Technology, Engineering and Math Magnet",1,0,62.0,51.0,45991,11573,0.07843280849505675,0.29307945807396557,0.09714390333211279,0.01669718051995606
328,Contreras Learning Center-Academic Leadership Community,1,0,29.0,27.0,36870,11938,0.056173262370237655,0.1954471201981346,0.26526848290035304,0.11197765716393529
329,YouthBuild Charter School of California,1,1,8.0,8.0,48743,11180,0.04479303352021949,0.16962901109388048,0.30681140403196944,0.16068233329357032
330,Esteban Torres East LA Performing Arts Magnet,1,0,10.0,8.0,50913,13873,0.06426682936750051,0.29100206281414337,0.1383828699264941,0.027949678956390365
331,Los Angeles High School of the Arts,1,0,13.0,9.0,42398,16331,0.03683952003368185,0.22573854466353238,0.3002245456459196,0.08988842888218371
332,Los Angeles Leadership Academy,1,1,8.0,8.0,51076,12005,0.07749800449894782,0.2583266816631594,0.21507873158696755,0.07223713808867281
333,Manual Arts Senior High,1,0,30.0,25.0,37945,17763,0.08509172131926623,0.29486265564109876,0.10310331717517346,0.022312517821499858
334,Math and Science College Preparatory,1,1,34.0,33.0,49644,16634,0.047825838523512944,0.26252785555111136,0.2107879549740015,0.07031026798468659
335,Alliance Marc & Eva Stern Math and Science,1,1,34.0,30.0,59723,13825,0.05854734520245786,0.258358279502127,0.21808728533165275,0.06651961556640933
336,Middle College High,1,0,11.0,9.0,58830,17197,0.03779119439539785,0.3079683317195421,0.19732870080309847,0.0621404567978584
337,Nava College Preparatory Academy,1,0,17.0,15.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
338,New Designs Charter,1,1,9.0,7.0,30530,12248,0.06442844198578855,0.21941914254375508,0.21603319185464256,0.10372454575802376
339,New Open World Academy K-12,1,0,12.0,12.0,70500,2282,0.014080375476679377,0.17571135230272808,0.49017307128190085,0.14461718979172777
340,New West Charter,1,1,9.0,9.0,97791,22194,0.007469679526652566,0.09483012503011967,0.4566410537870472,0.2874889561189794
341,"Boyle Heights Science, Technology, Engineering and Math Magnet",1,0,24.0,22.0,45991,11573,0.07843280849505675,0.29307945807396557,0.09714390333211279,0.01669718051995606
342,Oscar De La Hoya Animo Charter High,1,1,24.0,22.0,45991,11573,0.07843280849505675,0.29307945807396557,0.09714390333211279,0.01669718051995606
343,John C. Fremont Senior High,1,0,10.0,10.0,42220,17542,0.0672898076425023,0.32936218303392745,0.08523061709792103,0.018293974995879734
344,Rise Kohyang High,1,1,18.0,17.0,41748,17555,0.07731401699915297,0.20136110056371762,0.23608961065513917,0.04661623389899816
345,Santee Education Complex,1,0,47.0,38.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
346,Contreras Learning Center-Academic Leadership Community,1,0,11.0,8.0,36870,11938,0.056173262370237655,0.1954471201981346,0.26526848290035304,0.11197765716393529
347,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,1,0,7.0,7.0,50913,13873,0.06426682936750051,0.29100206281414337,0.1383828699264941,0.027949678956390365
348,Camino Nuevo High #2,1,1,7.0,6.0,52775,22528,0.03145646160528542,0.23212856914249136,0.31033536794458544,0.09983311615572778
349,Synergy Quantum Academy,1,1,19.0,19.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
350,Theodore Roosevelt Senior High,1,0,28.0,25.0,43646,13396,0.07611382005210073,0.2866208002137466,0.13081958453009151,0.031394028455013025
351,UCLA Community K-12,1,0,25.0,17.0,42398,16331,0.03683952003368185,0.22573854466353238,0.3002245456459196,0.08988842888218371
352,Anahuacalmecac International University Preparatory of North America,1,1,26.0,20.0,59723,13825,0.05854734520245786,0.258358279502127,0.21808728533165275,0.06651961556640933
353,Anahuacalmecac International University Preparatory of North America,1,1,20.0,20.0,59723,13825,0.05854734520245786,0.258358279502127,0.21808728533165275,0.06651961556640933
354,Ednovate - USC Hybrid High College Prep,1,1,22.0,21.0,61895,125,0.0,0.16447368421052633,0.20394736842105263,0.13157894736842105
355,Venice Senior High,1,0,38.0,32.0,87589,26696,0.016483635497216625,0.12361643598241168,0.38973725821474214,0.23878527952866765
356,TEACH Tech Charter High,1,1,9.0,7.0,58830,17197,0.03779119439539785,0.3079683317195421,0.19732870080309847,0.0621404567978584
357,West Adams Preparatory High,1,0,23.0,22.0,30530,12248,0.06442844198578855,0.21941914254375508,0.21603319185464256,0.10372454575802376
358,WISH Academy High,1,1,6.0,5.0,110535,15469,0.004468940861015939,0.09206018173692834,0.454863697303739,0.23826903023983315
359,Woodrow Wilson Senior High,1,0,27.0,18.0,59723,13825,0.05854734520245786,0.258358279502127,0.21808728533165275,0.06651961556640933
360,Los Banos High,1,0,25.0,19.0,63529,11463,0.04242657761794674,0.3545680280845963,0.1348574364243514,0.028341467591403373
361,Pacheco High,1,0,45.0,39.0,63529,11463,0.04242657761794674,0.3545680280845963,0.1348574364243514,0.028341467591403373
362,Los Gatos High,1,0,34.0,30.0,199063,5239,0.0005957108816521049,0.05430897537728356,0.4445988880063543,0.3876092136616362
363,Marco Antonio Firebaugh High,1,0,34.0,32.0,57236,15254,0.06270247429456782,0.33525048124325085,0.09258650640875159,0.01866284802103385
364,Madera High,1,0,30.0,23.0,61422,12029,0.05889734455958549,0.26246761658031087,0.1871356865284974,0.03286917098445596
365,Madera South High,1,0,55.0,48.0,61422,12029,0.05889734455958549,0.26246761658031087,0.1871356865284974,0.03286917098445596
366,East Union High,1,0,20.0,17.0,70084,15490,0.02104603820858127,0.37478860006263703,0.20184779204509865,0.04459755715627936
367,Manteca High,1,0,16.0,16.0,70084,15490,0.02104603820858127,0.37478860006263703,0.20184779204509865,0.04459755715627936
368,Sierra High,1,0,18.0,17.0,70084,15490,0.02104603820858127,0.37478860006263703,0.20184779204509865,0.04459755715627936
369,Marina High,1,0,6.0,5.0,73856,8988,0.024793388429752067,0.22558226897069872,0.3034685699974956,0.14581768094164788
370,Mariposa County High,1,0,8.0,8.0,52280,4781,0.007558859975216853,0.2231722428748451,0.30656753407682774,0.09702602230483272
371,Alhambra Senior High,1,0,4.0,4.0,106557,19096,0.005880877393461356,0.19510019788734356,0.3822291591181471,0.1320828339697316
372,Maywood Center for Enriched Studies,1,0,18.0,16.0,50996,6753,0.0816594930655189,0.32747489239598276,0.0824964131994261,0.025466284074605453
373,Mendota High,1,0,20.0,19.0,35982,2971,0.07700877315137168,0.24397716195515945,0.047764935245787496,0.0090516641136332
374,Paloma Valley High,1,0,17.0,10.0,97674,15112,0.018143100511073255,0.2530664395229983,0.26087450312322547,0.08350369108461102
375,El Capitan High,1,0,92.0,80.0,51340,10889,0.04261713553727152,0.30551313001921465,0.19485638271665764,0.06064935704783958
376,Golden Valley High,1,0,66.0,58.0,56941,12120,0.021504383940932164,0.2330410706045224,0.2590678357175819,0.1103830179972312
377,Merced High,1,0,47.0,42.0,51340,10889,0.04261713553727152,0.30551313001921465,0.19485638271665764,0.06064935704783958
378,Mills High,1,0,34.0,32.0,126319,7959,0.01384225717146728,0.19879837427107264,0.381103846380397,0.18006714967308712
379,Milpitas High,1,0,78.0,68.0,136966,22207,0.025093542322083433,0.18148141253560193,0.3942366760364117,0.22113218786649044
380,Capistrano Valley High,1,0,11.0,11.0,125115,17061,0.014375,0.14923295454545454,0.41951704545454543,0.19855113636363636
381,Trabuco Hills High,1,0,22.0,19.0,118379,16703,0.008397753183916357,0.17023524831766865,0.4143540403759524,0.15307824926311106
